UID,NERC,Region,Start,End,Center,Center_DOY,T_Max_Min,Duration,Regions_Impacted
HW_NERC2_Event18,2,ERCOT,1998-05-31,1998-06-03,1998-06-01,152,103.36,4,2.0
HW_NERC2_Event19,2,ERCOT,1998-06-13,1998-06-15,1998-06-14,165,102.58,3,2.0
HW_NERC2_Event20,2,ERCOT,1998-06-18,1998-06-21,1998-06-19,170,103.45,4,2.0
HW_NERC2_Event21,2,ERCOT,1998-06-26,1998-06-28,1998-06-27,178,102.47,3,7.0
HW_NERC2_Event22,2,ERCOT,1998-07-06,1998-07-16,1998-07-11,192,104.63,11,2.0
HW_NERC2_Event23,2,ERCOT,1998-07-25,1998-07-25,1998-07-25,206,101.58,1,3.0
HW_NERC2_Event24,2,ERCOT,1998-07-30,1998-08-03,1998-08-01,213,102.79,5,2.0
HW_NERC2_Event25,2,ERCOT,1999-08-09,1999-08-15,1999-08-12,224,102.79,7,5.0
HW_NERC2_Event26,2,ERCOT,2000-07-14,2000-07-20,2000-07-17,199,104.16,7,5.0
HW_NERC2_Event27,2,ERCOT,2000-08-12,2000-08-13,2000-08-12,225,102.18,2,3.0
HW_NERC2_Event28,2,ERCOT,2000-08-31,2000-09-06,2000-09-03,247,106.76,7,1.0
HW_NERC2_Event29,2,ERCOT,2001-07-12,2001-07-12,2001-07-12,193,101.77,1,2.0
HW_NERC2_Event30,2,ERCOT,2001-07-22,2001-07-23,2001-07-22,203,102.12,2,8.0
HW_NERC2_Event31,2,ERCOT,2003-08-03,2003-08-09,2003-08-06,218,105.02,7,3.0
HW_NERC2_Event32,2,ERCOT,2005-07-02,2005-07-04,2005-07-03,184,102.03,3,2.0
HW_NERC2_Event33,2,ERCOT,2006-07-12,2006-07-13,2006-07-12,193,101.72,2,2.0
HW_NERC2_Event34,2,ERCOT,2006-07-17,2006-07-20,2006-07-18,199,103.11,4,11.0
HW_NERC2_Event35,2,ERCOT,2008-07-28,2008-07-28,2008-07-28,210,101.8,1,1.0
HW_NERC2_Event36,2,ERCOT,2008-08-03,2008-08-04,2008-08-03,216,102.15,2,7.0
HW_NERC2_Event37,2,ERCOT,2009-06-25,2009-06-27,2009-06-26,177,102.92,3,3.0
HW_NERC2_Event38,2,ERCOT,2009-07-08,2009-07-16,2009-07-12,193,104.91,9,1.0
HW_NERC2_Event39,2,ERCOT,2009-08-04,2009-08-07,2009-08-05,217,102.34,4,2.0
HW_NERC2_Event40,2,ERCOT,2010-08-01,2010-08-02,2010-08-01,213,101.81,2,4.0
HW_NERC2_Event41,2,ERCOT,2010-08-13,2010-08-14,2010-08-13,225,101.72,2,4.0
HW_NERC2_Event42,2,ERCOT,2010-08-22,2010-08-23,2010-08-22,234,103.06,2,3.0
HW_NERC2_Event43,2,ERCOT,2011-05-28,2011-05-28,2011-05-28,148,101.58,1,2.0
HW_NERC2_Event44,2,ERCOT,2011-06-13,2011-06-20,2011-06-16,167,105.24,8,3.0
HW_NERC2_Event45,2,ERCOT,2011-06-25,2011-06-29,2011-06-27,178,104.32,5,3.0
HW_NERC2_Event46,2,ERCOT,2011-07-07,2011-07-09,2011-07-08,189,102.89,3,3.0
HW_NERC2_Event47,2,ERCOT,2011-07-13,2011-07-15,2011-07-14,195,102.29,3,2.0
HW_NERC2_Event48,2,ERCOT,2011-07-21,2011-07-28,2011-07-24,205,103.02,8,6.0
HW_NERC2_Event49,2,ERCOT,2011-07-31,2011-08-11,2011-08-05,217,105.73,12,3.0
HW_NERC2_Event50,2,ERCOT,2011-08-15,2011-08-31,2011-08-23,235,105.77,17,6.0
HW_NERC2_Event51,2,ERCOT,2012-06-25,2012-06-28,2012-06-26,178,104.86,4,2.0
HW_NERC2_Event52,2,ERCOT,2012-07-21,2012-07-22,2012-07-21,203,101.91,2,5.0
HW_NERC2_Event53,2,ERCOT,2012-07-30,2012-08-04,2012-08-01,214,104.91,6,6.0
HW_NERC2_Event54,2,ERCOT,2012-08-08,2012-08-13,2012-08-10,223,103.09,6,5.0
HW_NERC2_Event55,2,ERCOT,2012-09-06,2012-09-06,2012-09-06,250,101.77,1,1.0
HW_NERC2_Event56,2,ERCOT,2013-06-26,2013-06-29,2013-06-27,178,103.72,4,4.0
HW_NERC2_Event57,2,ERCOT,2013-08-02,2013-08-02,2013-08-02,214,101.56,1,1.0
HW_NERC2_Event58,2,ERCOT,2013-08-05,2013-08-08,2013-08-06,218,103.63,4,2.0
HW_NERC2_Event59,2,ERCOT,2015-08-06,2015-08-10,2015-08-08,220,102.33,5,2.0
HW_NERC2_Event60,2,ERCOT,2016-07-05,2016-07-06,2016-07-05,187,101.69,2,3.0
HW_NERC2_Event61,2,ERCOT,2017-06-17,2017-06-17,2017-06-17,168,101.79,1,1.0
HW_NERC2_Event62,2,ERCOT,2017-07-28,2017-07-28,2017-07-28,209,101.62,1,1.0
HW_NERC2_Event63,2,ERCOT,2018-05-31,2018-06-01,2018-05-31,151,102.03,2,1.0
HW_NERC2_Event64,2,ERCOT,2018-06-06,2018-06-06,2018-06-06,157,101.65,1,1.0
HW_NERC2_Event65,2,ERCOT,2018-07-17,2018-07-24,2018-07-20,201,106.91,8,5.0
HW_NERC2_Event66,2,ERCOT,2019-08-08,2019-08-19,2019-08-13,225,103.54,12,3.0
HW_NERC2_Event67,2,ERCOT,2019-08-25,2019-08-27,2019-08-26,238,104.36,3,2.0
HW_NERC2_Event68,2,ERCOT,2020-07-10,2020-07-16,2020-07-13,195,106.48,7,4.0
HW_NERC2_Event69,2,ERCOT,2020-08-12,2020-08-16,2020-08-14,227,104.32,5,3.0
HW_NERC2_Event70,2,ERCOT,2020-08-28,2020-08-30,2020-08-29,242,102.99,3,1.0
HW_NERC2_Event71,2,ERCOT,2022-06-10,2022-06-14,2022-06-12,163,105.65,5,5.0
HW_NERC2_Event72,2,ERCOT,2022-06-24,2022-06-25,2022-06-24,175,102.21,2,3.0
HW_NERC2_Event73,2,ERCOT,2022-07-06,2022-07-22,2022-07-14,195,106.25,17,2.0
HW_NERC2_Event74,2,ERCOT,2022-07-24,2022-07-27,2022-07-25,206,102.11,4,2.0
HW_NERC2_Event75,2,ERCOT,2022-08-02,2022-08-04,2022-08-03,215,102.62,3,8.0
