NERC_ID,start_date,end_date,duration,centroid_date,lowest_temperature
ERCOT,2017-01-05,2017-01-08,4,2017-01-06,267.001177456089
ERCOT,2017-12-31,2018-01-04,5,2018-01-02,264.736258166802
ERCOT,2018-01-13,2018-01-18,6,2018-01-15,264.926587728379
ERCOT,2018-02-12,2018-02-12,1,2018-02-12,271.239511584159
ERCOT,2019-01-02,2019-01-02,1,2019-01-02,271.529791716561
ERCOT,2019-03-04,2019-03-05,2,2019-03-04,268.80489203346
ERCOT,2019-11-13,2019-11-13,1,2019-11-13,271.667458597737
ERCOT,2020-02-06,2020-02-06,1,2020-02-06,271.335057050265
ERCOT,2021-01-12,2021-01-12,1,2021-01-12,271.566872321146
ERCOT,2021-02-11,2021-02-20,10,2021-02-15,259.092349807158
ERCOT,2022-01-03,2022-01-03,1,2022-01-03,269.528273138686
ERCOT,2022-01-20,2022-01-22,3,2022-01-21,267.733455523041
ERCOT,2022-02-03,2022-02-07,5,2022-02-05,263.676864653661
ERCOT,2022-02-24,2022-02-26,3,2022-02-25,267.967075894585
ERCOT,2022-12-22,2022-12-26,5,2022-12-24,264.589734525982
ERCOT,2023-01-31,2023-02-02,3,2023-02-01,269.629795708838
ERCOT,2024-01-13,2024-01-21,9,2024-01-17,262.920421275752
Florida,1980-01-06,1980-01-06,1,1980-01-06,276.266458487387
Florida,1980-02-01,1980-02-08,8,1980-02-04,273.59505262358
Florida,1980-02-27,1980-02-27,1,1980-02-27,276.870323556798
Florida,1980-03-03,1980-03-04,2,1980-03-03,273.254115225235
Florida,1980-12-26,1980-12-28,3,1980-12-27,275.095331828249
Florida,1981-01-02,1981-01-06,5,1981-01-04,275.351877516556
Florida,1981-01-09,1981-01-14,6,1981-01-11,270.547360132914
Florida,1981-01-17,1981-01-19,3,1981-01-18,273.113541505943
Florida,1981-02-03,1981-02-05,3,1981-02-04,273.595460074976
Florida,1981-12-05,1981-12-06,2,1981-12-05,276.587338613598
Florida,1981-12-10,1981-12-12,3,1981-12-11,273.427854999186
Florida,1981-12-18,1981-12-21,4,1981-12-19,271.151782923614
Florida,1982-01-10,1982-01-16,7,1982-01-13,270.314970804926
Florida,1982-12-18,1982-12-19,2,1982-12-18,276.220834549859
Florida,1983-01-13,1983-01-18,6,1983-01-15,274.443590649778
Florida,1983-12-24,1983-12-27,4,1983-12-25,267.252810326378
Florida,1983-12-30,1984-01-02,4,1983-12-31,273.214154057592
Florida,1984-01-21,1984-01-21,1,1984-01-21,276.614776855558
Florida,1984-02-01,1984-02-01,1,1984-02-01,276.642453561151
Florida,1984-02-06,1984-02-08,3,1984-02-07,273.817029127141
Florida,1984-02-29,1984-03-01,2,1984-02-29,275.403855630692
Florida,1984-11-13,1984-11-13,1,1984-11-13,276.826750268806
Florida,1984-12-08,1984-12-08,1,1984-12-08,275.402938994862
Florida,1985-01-06,1985-01-06,1,1985-01-06,276.278030548285
Florida,1985-01-13,1985-01-15,3,1985-01-14,275.48972443516
Florida,1985-01-20,1985-01-24,5,1985-01-22,266.407921670532
Florida,1985-01-26,1985-01-27,2,1985-01-26,276.291713739176
Florida,1985-02-09,1985-02-09,1,1985-02-09,276.544332131585
Florida,1985-02-13,1985-02-15,3,1985-02-14,274.960802186483
Florida,1985-12-15,1985-12-16,2,1985-12-15,275.718267800524
Florida,1985-12-21,1985-12-22,2,1985-12-21,275.552332418092
Florida,1985-12-26,1985-12-27,2,1985-12-26,273.409798373335
Florida,1986-01-27,1986-01-29,3,1986-01-28,271.202393044778
Florida,1986-02-13,1986-02-13,1,1986-02-13,276.143811989698
Florida,1986-03-02,1986-03-02,1,1986-03-02,276.321135342083
Florida,1987-01-12,1987-01-12,1,1987-01-12,276.793269913923
Florida,1987-01-28,1987-01-28,1,1987-01-28,276.664720288916
Florida,1987-02-10,1987-02-10,1,1987-02-10,276.175777220772
Florida,1987-12-17,1987-12-18,2,1987-12-17,276.49709757171
Florida,1988-01-15,1988-01-15,1,1988-01-15,276.779561196519
Florida,1988-01-26,1988-01-28,3,1988-01-27,274.036880991683
Florida,1988-02-07,1988-02-07,1,1988-02-07,277.013342391856
Florida,1988-02-26,1988-02-26,1,1988-02-26,276.95585200092
Florida,1988-03-16,1988-03-16,1,1988-03-16,275.511361890847
Florida,1988-12-17,1988-12-19,3,1988-12-18,274.553632066546
Florida,1989-02-24,1989-02-26,3,1989-02-25,273.249751578918
Florida,1989-03-09,1989-03-09,1,1989-03-09,276.958672247292
Florida,1989-12-04,1989-12-05,2,1989-12-04,276.439926641099
Florida,1989-12-22,1989-12-27,6,1989-12-24,266.573372652609
Florida,1991-02-16,1991-02-17,2,1991-02-16,274.115010031846
Florida,1991-11-26,1991-11-26,1,1991-11-26,276.952924970698
Florida,1992-01-16,1992-01-17,2,1992-01-16,274.550285670571
Florida,1993-02-19,1993-02-19,1,1993-02-19,276.841302620758
Florida,1993-03-14,1993-03-15,2,1993-03-14,274.770691677631
Florida,1993-12-25,1993-12-26,2,1993-12-25,276.148589530225
Florida,1994-01-15,1994-01-15,1,1994-01-15,276.894330263954
Florida,1994-01-20,1994-01-20,1,1994-01-20,276.025245828462
Florida,1995-01-24,1995-01-25,2,1995-01-24,275.546338802003
Florida,1995-02-06,1995-02-09,4,1995-02-07,273.992631495584
Florida,1995-12-11,1995-12-11,1,1995-12-11,276.636904887611
Florida,1995-12-22,1995-12-28,7,1995-12-25,273.602564768825
Florida,1996-01-08,1996-01-10,3,1996-01-09,272.762377864633
Florida,1996-02-04,1996-02-07,4,1996-02-05,271.571021111823
Florida,1996-02-13,1996-02-13,1,1996-02-13,276.307518339212
Florida,1996-02-17,1996-02-18,2,1996-02-17,275.36886282261
