NERC_ID,start_date,end_date,duration,centroid_date,highest_temperature
Great Basin,1990-08-07,1990-08-09,3,1990-08-08,302.755857971162
Great Basin,1992-08-01,1992-08-02,2,1992-08-01,302.424874041671
Great Basin,1992-08-14,1992-08-14,1,1992-08-14,302.195798480952
Great Basin,1994-06-24,1994-06-27,4,1994-06-25,302.658426961426
Great Basin,1994-06-29,1994-06-30,2,1994-06-29,302.507683401997
Great Basin,1994-07-10,1994-07-10,1,1994-07-10,302.08463553363
Great Basin,1994-07-17,1994-07-17,1,1994-07-17,302.033212125709
Great Basin,1994-07-25,1994-07-31,7,1994-07-28,303.623671733292
Great Basin,1994-08-03,1994-08-07,5,1994-08-05,303.486700282398
Great Basin,1995-07-27,1995-07-29,3,1995-07-28,303.432383157234
Great Basin,1995-08-05,1995-08-06,2,1995-08-05,302.405598133116
Great Basin,1996-07-02,1996-07-04,3,1996-07-03,303.032916097916
Great Basin,1996-08-11,1996-08-13,3,1996-08-12,303.751789959971
Great Basin,1997-07-16,1997-07-16,1,1997-07-16,302.417422961019
Great Basin,1998-07-14,1998-07-21,8,1998-07-17,304.719840617351
Great Basin,1998-08-07,1998-08-07,1,1998-08-07,302.058625841228
Great Basin,2000-07-12,2000-07-14,3,2000-07-13,302.977111674174
Great Basin,2000-07-21,2000-07-24,4,2000-07-22,303.138426978229
Great Basin,2000-07-26,2000-08-03,9,2000-07-30,304.546165982955
Great Basin,2000-08-07,2000-08-10,4,2000-08-08,302.94655785091
Great Basin,2001-06-30,2001-07-06,7,2001-07-03,304.288698582355
Great Basin,2001-08-27,2001-08-27,1,2001-08-27,301.997747326992
Great Basin,2002-06-25,2002-07-02,8,2002-06-28,303.324342052821
Great Basin,2002-07-07,2002-07-17,11,2002-07-12,306.150850758846
Great Basin,2002-07-23,2002-07-23,1,2002-07-23,302.04780599249
Great Basin,2002-07-30,2002-07-31,2,2002-07-30,302.301963754625
Great Basin,2003-07-08,2003-07-25,18,2003-07-16,305.051840896847
Great Basin,2003-07-30,2003-08-01,3,2003-07-31,302.582341112783
Great Basin,2003-08-06,2003-08-06,1,2003-08-06,302.062709327199
Great Basin,2003-08-10,2003-08-14,5,2003-08-12,302.638474685974
Great Basin,2004-07-13,2004-07-13,1,2004-07-13,302.011981406302
Great Basin,2005-07-12,2005-07-22,11,2005-07-17,304.589817196864
Great Basin,2005-07-29,2005-07-29,1,2005-07-29,301.963187471077
Great Basin,2006-07-14,2006-07-17,4,2006-07-15,303.828007890706
Great Basin,2006-07-21,2006-07-25,5,2006-07-23,304.167470249207
Great Basin,2006-07-27,2006-07-29,3,2006-07-28,303.502302830781
Great Basin,2007-06-29,2007-07-10,12,2007-07-04,303.469468727007
Great Basin,2007-07-14,2007-07-17,4,2007-07-15,303.788056589942
Great Basin,2007-07-30,2007-07-30,1,2007-07-30,302.052060476692
Great Basin,2008-07-04,2008-07-04,1,2008-07-04,302.092396826977
Great Basin,2008-07-31,2008-08-02,3,2008-08-01,302.389125223059
Great Basin,2009-07-17,2009-07-19,3,2009-07-18,302.891826730523
Great Basin,2009-07-22,2009-07-23,2,2009-07-22,302.413791916757
Great Basin,2009-08-21,2009-08-22,2,2009-08-21,302.267482064026
Great Basin,2010-07-16,2010-07-19,4,2010-07-17,303.174191398844
Great Basin,2010-07-25,2010-07-26,2,2010-07-25,302.161242982381
Great Basin,2011-07-25,2011-07-25,1,2011-07-25,302.037762068485
Great Basin,2011-08-23,2011-08-24,2,2011-08-23,302.274245011181
Great Basin,2012-06-30,2012-07-01,2,2012-06-30,302.312832523337
Great Basin,2012-07-09,2012-07-12,4,2012-07-10,302.923892821561
Great Basin,2012-08-08,2012-08-09,2,2012-08-08,302.690546050598
Great Basin,2013-06-27,2013-07-04,8,2013-06-30,303.744839843152
Great Basin,2013-07-09,2013-07-11,3,2013-07-10,303.231985424243
Great Basin,2013-07-20,2013-07-23,4,2013-07-21,302.778218193323
Great Basin,2013-08-16,2013-08-16,1,2013-08-16,301.985651040033
Great Basin,2014-07-05,2014-07-08,4,2014-07-06,302.817272421533
Great Basin,2014-07-13,2014-07-14,2,2014-07-13,302.312447182526
Great Basin,2014-07-22,2014-07-23,2,2014-07-22,302.736476308889
Great Basin,2015-06-26,2015-07-04,9,2015-06-30,304.147947737552
